"日期","收市","開市","高","低","成交量","更改%"
"2021年5月6日","4,201.62","4,169.14","4,202.70","4,147.33","-","0.82%"
"2021年5月5日","4,167.59","4,177.06","4,187.72","4,160.94","-","0.07%"
"2021年5月4日","4,164.66","4,179.04","4,179.04","4,128.59","-","-0.67%"
"2021年5月3日","4,192.66","4,191.98","4,209.39","4,188.03","-","0.27%"
"2021年4月30日","4,181.17","4,198.10","4,198.10","4,174.85","-","-0.72%"
"2021年4月29日","4,211.47","4,206.14","4,218.78","4,176.81","-","0.68%"
"2021年4月28日","4,183.18","4,185.14","4,201.53","4,181.78","-","-0.08%"
"2021年4月27日","4,186.72","4,188.25","4,193.35","4,176.22","-","-0.02%"
"2021年4月26日","4,187.62","4,185.03","4,194.19","4,182.36","-","0.18%"
"2021年4月23日","4,180.17","4,138.78","4,194.17","4,138.78","-","1.09%"
"2021年4月22日","4,134.98","4,170.46","4,179.57","4,123.69","-","-0.92%"
"2021年4月21日","4,173.42","4,128.42","4,175.02","4,126.35","-","0.93%"
"2021年4月20日","4,134.94","4,159.18","4,159.18","4,118.38","-","-0.68%"
"2021年4月19日","4,163.26","4,179.80","4,180.81","4,150.47","-","-0.53%"
"2021年4月16日","4,185.47","4,174.14","4,191.31","4,170.75","-","0.36%"
"2021年4月15日","4,170.42","4,139.76","4,173.49","4,139.76","-","1.11%"
"2021年4月14日","4,124.66","4,141.58","4,151.69","4,120.87","-","-0.41%"
"2021年4月13日","4,141.59","4,130.10","4,148.00","4,124.43","-","0.33%"
"2021年4月12日","4,127.99","4,124.71","4,131.76","4,114.82","-","-0.02%"
"2021年4月9日","4,128.80","4,096.11","4,129.48","4,095.51","-","0.77%"
"2021年4月8日","4,097.17","4,089.95","4,098.19","4,082.54","-","0.42%"
"2021年4月7日","4,079.95","4,074.29","4,083.13","4,068.31","-","0.15%"
"2021年4月6日","4,073.94","4,075.57","4,086.23","4,068.14","-","-0.10%"
"2021年4月5日","4,077.91","4,034.44","4,083.42","4,034.44","-","1.44%"
"2021年4月1日","4,019.87","3,992.78","4,020.63","3,992.78","-","1.18%"
