Date,Close,High,Low,Open,Unnamed: 0,Volume,ma10,ma20,ma5,成交筆數,成交金額,漲跌價差
110/07/29,583.0,585.0,577.0,585.0,,25014772,583.5,589.95,581.4,26868,14525643464,4.0
110/07/30,580.0,582.0,578.0,581.0,,26141286,582.6,589.55,580.4,16353,15170421873,-3.0
110/08/02,590.0,590.0,580.0,583.0,,24948096,583.4,589.5,582.4,19791,14593329483,10.0
110/08/03,594.0,594.0,590.0,594.0,,28104984,584.7,589.6,585.2,20221,16655446605,4.0
110/08/04,596.0,598.0,594.0,598.0,,23714971,585.8,589.7,588.6,18228,14132827829,2.0
110/08/05,596.0,598.0,593.0,598.0,,15673765,586.3,590.1,591.2,15495,9343887536,0.0
110/08/06,591.0,596.0,588.0,596.0,,13994018,586.9,590.45,593.4,13742,8275142201,-5.0
110/08/09,595.0,595.0,583.0,590.0,,17611955,588.4,590.55,594.4,15068,10366798182,4.0
110/08/10,591.0,596.0,589.0,596.0,,17620825,589.5,589.75,593.8,13983,10435618093,-4.0
110/08/11,590.0,590.0,585.0,590.0,,20311399,590.6,588.6,592.6,18548,11943131619,-1.0
110/08/12,586.0,588.0,584.0,586.0,,16031265,590.9,587.2,590.6,15202,9383967628,-4.0
110/08/13,581.0,585.0,579.0,585.0,,25440973,591.0,586.8,588.6,36198,14769155709,-5.0
110/08/16,584.0,586.0,578.0,582.0,,19949389,590.4,586.9,586.4,17055,11612486234,3.0
110/08/17,580.0,582.0,578.0,580.0,,31845499,589.0,586.85,584.2,19184,18475506150,-4.0
110/08/18,574.0,575.0,566.0,568.0,,47063629,586.8,586.3,581.0,86118,26855353529,-6.0
110/08/19,559.0,573.0,559.0,573.0,,42133375,583.1,584.7,575.6,119048,23766228074,-15.0
110/08/20,552.0,563.0,551.0,560.0,,47741449,579.2,583.05,569.8,72684,26565551162,-7.0
110/08/23,566.0,572.0,559.0,560.0,,33636000,576.3,582.35,566.2,14554,19043173000,14.0
110/08/24,572.0,575.0,571.0,574.0,,27397309,574.4,581.95,564.6,21032,15697269609,6.0
110/08/25,585.0,585.0,574.0,579.0,,28867651,573.9,582.25,566.8,29096,16769849402,13.0
110/08/26,594.0,603.0,591.0,601.0,,45027320,574.7,582.8,573.8,42735,26834160811,9.0
110/08/27,599.0,600.0,593.0,596.0,,28150532,576.5,583.75,583.2,31208,16815367779,5.0
110/08/30,605.0,605.0,599.0,602.0,,40606821,578.6,584.5,591.0,43096,24425472555,6.0
110/08/31,614.0,614.0,598.0,604.0,,52405000,582.0,585.5,599.4,20438,31908240000,9.0
